variable,depth,time,value
fluorescence,1,2017-01-08T09:54:47Z,0.6089184769953316
fluorescence,1,2017-01-08T10:54:47Z,0.5889437315090837
fluorescence,1,2017-01-08T11:54:47Z,0.568968986022836
fluorescence,1,2017-01-08T12:54:47Z,0.5489942405365882
fluorescence,1,2017-01-08T13:54:47Z,0.5290194950503403
fluorescence,1,2017-01-08T14:54:47Z,0.5090447495640925
fluorescence,1,2017-01-08T15:54:47Z,0.4890700040778447
fluorescence,1,2017-01-08T16:54:47Z,0.46909525859159684
fluorescence,1,2017-01-08T17:54:47Z,0.44912051310534906
fluorescence,1,2017-01-08T18:54:47Z,0.4291457676191012
fluorescence,1,2017-01-08T19:54:47Z,0.4091710221328534
fluorescence,1,2017-01-08T20:54:47Z,0.38919627664660555
fluorescence,1,2017-01-08T21:54:47Z,0.3692215311603577
fluorescence,1,2017-01-08T22:54:47Z,0.3492467856741099
fluorescence,1,2017-01-08T23:54:47Z,0.32927204018786205
fluorescence,1,2017-01-09T00:54:47Z,0.30929729470161427
fluorescence,1,2017-01-09T01:54:47Z,0.2919761278910361
fluorescence,1,2017-01-09T02:54:47Z,0.31860081280679253
fluorescence,1,2017-01-09T03:54:47Z,0.34522549772254896
fluorescence,1,2017-01-09T04:54:47Z,0.3718501826383054
fluorescence,1,2017-01-09T05:54:47Z,0.3984748675540618
fluorescence,1,2017-01-09T06:54:47Z,0.42509955246981823
fluorescence,1,2017-01-09T07:54:47Z,0.45172423738557466
fluorescence,1,2017-01-09T08:54:47Z,0.45009611176559433
fluorescence,1,2017-01-09T09:54:47Z,0.44029167134873887
fluorescence,1,2017-01-09T10:54:47Z,0.4304872309318834
fluorescence,1,2017-01-09T11:54:47Z,0.42068279051502794
fluorescence,1,2017-01-09T12:54:47Z,0.4108783500981725
fluorescence,1,2017-01-09T13:54:47Z,0.401073909681317
fluorescence,1,2017-01-09T14:54:47Z,0.39126946926446154
fluorescence,1,2017-01-09T15:54:47Z,0.3814650288476061
fluorescence,1,2017-01-09T16:54:47Z,0.3716605884307506
fluorescence,1,2017-01-09T17:54:47Z,0.36547664856221224
fluorescence,1,2017-01-09T18:54:47Z,0.3619174414821758
fluorescence,1,2017-01-09T19:54:47Z,0.35835823440213943
fluorescence,1,2017-01-09T20:54:47Z,0.35479902732210306
fluorescence,1,2017-01-09T21:54:47Z,0.3512398202420667
fluorescence,1,2017-01-09T22:54:47Z,0.34768061316203025
fluorescence,1,2017-01-09T23:54:47Z,0.3441214060819939
fluorescence,1,2017-01-10T00:54:47Z,0.3405621990019575
fluorescence,1,2017-01-10T01:54:47Z,0.33700299192192107
fluorescence,1,2017-01-10T02:54:47Z,0.3334437848418847
fluorescence,1,2017-01-10T03:54:47Z,0.3298845777618483
fluorescence,1,2017-01-10T04:54:47Z,0.32632537068181194
fluorescence,1,2017-01-10T05:54:47Z,0.3227661636017755
fluorescence,1,2017-01-10T06:54:47Z,0.31920695652173914
fluorescence,1,2017-01-10T07:54:47Z,0.31564774944170276
fluorescence,1,2017-01-10T08:54:47Z,0.3120885423616664
fluorescence,1,2017-01-10T09:54:47Z,0.30852933528162996
fluorescence,1,2017-01-10T10:54:47Z,0.3049701282015936
fluorescence,1,2017-01-10T11:54:47Z,0.3014109211215572
fluorescence,1,2017-01-10T12:54:47Z,0.2978517140415208
fluorescence,1,2017-01-10T13:54:47Z,0.2999403619114547
fluorescence,1,2017-01-10T14:54:47Z,0.3095412052002811
fluorescence,1,2017-01-10T15:54:47Z,0.31914204848910754
fluorescence,1,2017-01-10T16:54:47Z,0.3287428917779339
fluorescence,1,2017-01-10T17:54:47Z,0.33834373506676035
fluorescence,1,2017-01-10T18:54:47Z,0.3479445783555868
fluorescence,1,2017-01-10T19:54:47Z,0.3420767774329012
fluorescence,1,2017-01-10T20:54:47Z,0.3343995818878948
fluorescence,1,2017-01-10T21:54:47Z,0.3267223863428884
fluorescence,1,2017-01-10T22:54:47Z,0.31904519079788207
fluorescence,1,2017-01-10T23:54:47Z,0.3113679952528757
